sku,name,description,price
PROD001,Laptop Computer,High-performance laptop with 16GB RAM,999.99
PROD002,Wireless Mouse,Ergonomic wireless mouse with USB receiver,29.99
PROD003,Mechanical Keyboard,RGB mechanical keyboard with blue switches,89.99
PROD004,USB-C Hub,7-in-1 USB-C hub with HDMI and ethernet,49.99
PROD005,Monitor Stand,Adjustable monitor stand with storage,39.99
PROD006,Webcam HD,1080p HD webcam with built-in microphone,79.99
PROD007,Desk Lamp,LED desk lamp with adjustable brightness,34.99
PROD008,Cable Organizer,Cable management box for desk organization,19.99
PROD009,Phone Stand,Adjustable phone stand for desk,14.99
PROD010,Laptop Sleeve,Protective laptop sleeve 15 inch,24.99
